(مص. أسس)	تَأْسِيسٌ-تَأْسِيسٌ 
(مص. كَبَحَ)	كَبْحٌ-كَبْحٌ 
(مص. كَبِدَ)	كَبَدٌ-كَبَدٌ 
(مص. كَبَّدَ)	تَكْبيدٌ-تَكْبيدٌ 
(مص. كَبُرَ)	كُبْرٌ-كُبْرٌ 
(مص. كَبُرَ)	كِبَرٌ-كِبَرٌ 
(مص. كَبَّرَ)	تَكْبيرٌ-تَكْبيرٌ 
(مص. كَبَّرَ)	كُبَّارٌ-كُبَّارٌ 
(مص. كَبَّسَ)	تَكْبيسٌ-تَكْبيسٌ 
(مص. كَبَلَ)	كَبْلٌ-كَبْلٌ 
(مص. كَبَّلَ)	تَكْبيلٌ-تَكْبيلٌ 
(مص. كَتَّ)	كَتِيتٌ-كَتِيتٌ 
(مص. كَتَبَ)	كِتَابَةٌ-كِتَابَةٌ 
(مص. كَتَبَ)	كِتَابٌ-كِتَابٌ 
(مص. كَتَّبَ)	تَكْتيبٌ-تَكْتيبٌ 
(مص. كَتَفَ)	كَتْفٌ-كَتْفٌ 
(مص. كَتَفَ)	كَتِيفٌ-كَتِيفٌ 
(مص. كَتَّفَ)	تَكْتيفٌ-تَكْتيفٌ 
(مص. كَتَّلَ)	تَكْتيلٌ-تَكْتيلٌ 
(مص. كَتَمَ)	كِتْمَانٌ-كِتْمَانٌ 
(مص. كَتَمَ)	كَتْمٌ-كَتْمٌ 
(مص. كَتَّمَ)	تَكْتيمٌ-تَكْتيمٌ 
(مص. كَثَّ)	كَثٌّ-كَثٌّ، ةٌ 
(مص. كَثَّ)	كَثَّةٌ-كَثَّةٌ 
(مص. كَثُرَ)	كَثْرَةٌ-كَثْرَةٌ 
(مص. كَثَّرَ)	تَكْثيرٌ-تَكْثيرٌ 
(مص. كَثُفَ)	كَثَافَةٌ-كَثَافَةٌ 
(مص. كَثَّفَ)	تَكْثيفٌ-تَكْثيفٌ 
(مص. كَثَلَ)	كَثْلٌ-كَثْلٌ 
(مص. كَحَّلَ)	تَكْحيلٌ-تَكْحيلٌ 
(مص. كَدَّ)	كَدٌّ-كَدٌّ 
(مص. كَدَحَ)	كَدْحٌ-كَدْحٌ 
(مص. كَدُرَ، كَدِرَ)	كُدْرَةٌ-كُدْرَةٌ 
(مص. كَدِرَ)	كَدَرٌ-كَدَرٌ 
(مص. كَدَّرَ)	تَكْديرٌ-تَكْديرٌ 
(مص. كَدَسَ)	كَدْسٌ-كَدْسٌ 
(مص. كَدَّسَ)	تَكْديسٌ-تَكْديسٌ 
(مص. كَذَبَ، كَذَّبَ)	كِذَّابٌ-كِذَّابٌ 
(مص. كَذَبَ)	كَذِبٌ-كَذِبٌ 
(مص. كَذِبَ)	كَذْبَةٌ-كَذْبَةٌ 
(مص. كَذَّبَ)	تَكْذيبٌ-تَكْذيبٌ 
(مص. كَرَّ)	كَرٌّ-كَرٌّ 
(مص. كَرَّ)	كَرِيرٌ-كَرِيرٌ 
(مص. كَرَبَ)	كَرْبٌ-كَرْبٌ 
(مص. كَرَّرَ)	تَكْرارٌ-تَكْرارٌ 
(مص. كَرَّرَ)	تَكْريرٌ-تَكْريرٌ 
(مص. كَرَّسَ)	تَكْريسٌ-تَكْريسٌ 
(مص. كَرْكَرَ)	كَرْكَرَةٌ-كَرْكَرَةٌ 
(مص. كَرُمَ)	كَرَامَةٌ-كَرَامَةٌ 
(مص. كَرُمَ)	كَرَمٌ-كَرَمٌ 
(مص. كَرَّمَ)	تَكْريمٌ-تَكْريمٌ 
(مص. كَرِهَ،كَرُهَ)	كَرَاهَةٌ-كَرَاهَةٌ 
(مص. كَرِهَ،كَرُهَ)	كَرَاهِيَةٌ-كَرَاهِيَةٌ 
(مص. كَرِهَ)	كُرْهٌ-كُرْهٌ 
(مص. كَرَّهَ)	تَكْريهٌ-تَكْريهٌ 
(مص. كَزَّ)	كَزٌّ-كَزٌّ 
(مص. كَسَبَ)	كَسْبٌ-كَسْبٌ 
(مص. كَسَّبَ)	تَكْسيبٌ-تَكْسيبٌ 
(مص. كَسَحَ)	كَسْحٌ-كَسْحٌ 
(مص. كَسِحَ)	كَسَحٌ-كَسَحٌ 
(مص. كَسَرَ)	كَسْرٌ-كَسْرٌ 
(مص. كَسَّرَ)	تَكْسيرٌ-تَكْسيرٌ 
(مص. كَسَفَ)	كُسُوفٌ-كُسُوفٌ 
(مص. كَسِلَ)	كَسَلٌ-كَسَلٌ 
(مص. كَشَحَ)	كَشْحٌ-كَشْحٌ 
(مص. كَشِحَ)	كَشَحٌ-كَشَحٌ 
(مص. كَشَّرَ)	تَكْشِيرٌ-تَكْشِيرٌ 
(مص. كَشَفَ)	كَشْفٌ-كَشْفٌ 
(مص. كَشَّفَ)	تَكْشيفٌ-تَكْشيفٌ 
(مص. كَظَّ)	كَظٌّ-كَظٌّ 
(مص. كَعَّبَ)	تَكْعيبٌ-تَكْعيبٌ 
(مص. كَفَّ)	كَفٌّ-كَفٌّ 
(مص. كَفَرَ)	كُفْرَانٌ-كُفْرَانٌ 
(مص. كَفَرَ)	كَفْرٌ-كَفْرٌ 
(مص. كَفَرَ)	كُفْرٌ-كُفْرٌ 
(مص. كَفَّرَ)	تَكْفيرٌ-تَكْفيرٌ 
(مص. كَفَلَ)	كَفَالَةٌ-كَفَالَةٌ 
(مص. كَفَّلَ)	تَكْفيلٌ-تَكْفيلٌ 
(مص. كَفَنَ)	كَفْنٌ-كَفْنٌ 
(مص. كَفَّنَ)	تَكْفينٌ-تَكْفينٌ 
(مص. كَفَى)	كِفَايَةٌ-كِفَايَةٌ 
(مص. كَلَّ)	كَلالَةٌ-كَلالَةٌ 
(مص. كَلَّ)	كِلَّةٌ-كِلَّةٌ 
(مص. كَلَّ)	كَلٌّ-كَلٌّ 
(مص. كَلِبَ)	كَلَبٌ-كَلَبٌ 
(مص. كَلَّسَ)	تَكْليسٌ-تَكْليسٌ 
(مص. كَلَّفَ)	تَكْليفٌ-تَكْليفٌ 
(مص. كَلَّلَ)	تَكْليلٌ-تَكْليلٌ 
(مص. كَلَّمَ)	تَكْليمٌ-تَكْليمٌ 
(مص. كَمِدَ)	كَمَدٌ-كَمَدٌ 
(مص. كَمَّدَ)	تَكْميدٌ-تَكْميدٌ 
(مص. كَمُلَ، كَمَلَ، كَمِلَ)	كَمَالٌ-كَمَالٌ 
(مص. كَمَّلَ)	تَكْميلٌ-تَكْميلٌ 
(مص. كَمَنَ)	كُمُونٌ-كُمُونٌ 
(مص. كَمِنَ)	كُمْنَةٌ-كُمْنَةٌ 
(مص. كَنَزَ)	كَنْزٌ-كَنْزٌ 
(مص. كَنَّسَ)	تَكْنيسٌ-تَكْنيسٌ 
(مص. كَنَفَ)	كَنْفٌ-كَنْفٌ 
(مص. كَنَّفَ)	تَكْنيفٌ-تَكْنيفٌ 
(مص. كَنَى)	كِنَايَةٌ-كِنَايَةٌ 
(مص. كَنَى)	كُنْيَةٌ-كُنْيَةٌ 
(مص. كَنَّى)	تَكْنِيَة-تَكْنِيَة 
(مص. كَهُلَ)	كُهُولَةٌ-كُهُولَةٌ 
(مص. كَوَّرَ)	تَكْويرٌ-تَكْويرٌ 
(مص. كَوِعَ)	كَوَعٌ-كَوَعٌ 
(مص. كَوَّمَ)	تَكْويمٌ-تَكْويمٌ 
(مص. كَوَّنَ)	تَكْوينٌ-تَكْوينٌ 
(مص. كَوَى)	كَيٌّ-كَيٌّ 
(مص. كَيَّسَ)	تَكْيِيسٌ-تَكْيِيسٌ 
(مص. كَيَّفَ)	تَكْيِيفٌ-تَكْيِيفٌ 
(مص. كَيَّلَ)	تَكْيِيلٌ-تَكْيِيلٌ 
(مص. لَؤُمَ)	لُؤْمٌ-لُؤْمٌ 
(مص. لاَءمَ)	مُلاَءمَةٌ-مُلاَءمَةٌ 
(مص. لاَبَ)	لُوَابٌ-لُوَابٌ 
(مص. لاَبَسَ)	مُلاَبَسَةٌ-مُلاَبَسَةٌ 
(مص. لاَحَ)	لَوْحٌ-لَوْحٌ، ةٌ 
(مص. لاَحَ)	لَوْحَةٌ-لَوْحَةٌ 
(مص. لاَحَظَ)	مُلاَحَظَةٌ-مُلاَحَظَةٌ 
(مص. لاَحَقَ)	مُلاَحَقَةٌ-مُلاَحَقَةٌ 
(مص. لاَحَى)	لِحَاءٌ-لِحَاءٌ 
(مص. لاَذَ)	لَوْذٌ-لَوْذٌ 
(مص. لاَزَمَ، لَزِمَ)	لِزَامٌ-لِزَامٌ 
(مص. لاَزَمَ)	مُلاَزَمَةٌ-مُلاَزَمَةٌ 
(مص. لاَطَ)	لَوْطٌ-لَوْطٌ 
(مص. لاَطَفَ)	مُلاَطَفَةٌ-مُلاَطَفَةٌ 
(مص. لاَقَ)	لِيَاقَةٌ-لِيَاقَةٌ 
(مص. لاَقَى)	مُلاَقَاةٌ-مُلاَقَاةٌ 
(مص. لاَكَمَ)	مُلاَكَمَةٌ-مُلاَكَمَةٌ 
(مص. لاَمَ)	لَوْمٌ-لَوْمٌ 
(مص. لاَمَ)	مَلاَمَةٌ-مَلاَمَةٌ 
(مص. لاَمَ)	مَلاَمٌ-مَلاَمٌ 
(مص. لاَمَسَ)	مُلاَمَسَةٌ-مُلاَمَسَةٌ 
(مص. لاَنَ)	لِينٌ-لِينٌ، ةٌ 
(مص. لاَنَ)	لِينَةٌ-لِينَةٌ 
(مص. لاَهَ)	لَوْهٌ-لَوْهٌ 
(مص. لَبَّ، لَبِبَ)	لَبَبٌ-لَبَبٌ 
(مص. لَبَّبَ)	تَلْبيبٌ-تَلْبيبٌ 
(مص. لَبَّثَ)	تَلْبيثٌ-تَلْبيثٌ 
(مص. لَبَدَ)	لَبَدٌ-لَبَدٌ 
(مص. لَبَّدَ)	تَلْبيدٌ-تَلْبيدٌ 
(مص. لَبَسَ)	لَبْسٌ-لَبْسٌ 
(مص. لَبِسَ)	لُبْسٌ-لُبْسٌ، ةٌ 
(مص. لَبِسَ)	لُبْسَةٌ-لُبْسَةٌ 
(مص. لَبَّسَ)	تَلْبيسٌ-تَلْبيسٌ 
(مص. لَبُقَ)	لَبَاقَةٌ-لَبَاقَةٌ 
(مص. لَبَكَ)	لَبْكٌ-لَبْكٌ 
(مص. لَبْلَبَ)	لَبْلَبَةٌ-لَبْلَبَةٌ 
(مص. لَبَّى)	تَلْبيَةٌ-تَلْبيَةٌ 
(مص. لَثَمَ)	لَثْمٌ-لَثْمٌ 
(مص. لَثَّمَ)	تَلْثيمٌ-تَلْثيمٌ 
(مص. لَجَّ)	لَجَاجَةٌ-لَجَاجَةٌ 
(مص. لَجَأَ)	لُجُوءٌ-لُجُوءٌ 
(مص. لَجِبَ)	لَجَبٌ-لَجَبٌ 
(مص. لَحَدَ)	لَحْدٌ-لَحْدٌ 
(مص. لَحَظَ).	لَحْظٌ-لَحْظٌ 
(مص. لَحَقَ)	لِحَاقٌ-لِحَاقٌ 
(مص. لَحَمَ)	لَحْمٌ-لَحْمٌ 
(مص. لَحَنَ)	لَحْنٌ-لَحْنٌ 
(مص. لَحِنَ)	لَحَنٌ-لَحَنٌ 
(مص. لَحَّنَ)	تَلْحينٌ-تَلْحينٌ 
(مص. لَحَى)	لَحْيٌ-لَحْيٌ 
(مص. لَخَّصَ)	تَلْخيصٌ-تَلْخيصٌ 
(مص. لَدَّ يَلَدُّ)	لَدَدٌ-لَدَدٌ 
(مص. لَدَغَ)	لَدْغٌ-لَدْغٌ 
(مص. لَدَّنَ)	تَلْدينٌ-تَلْدينٌ 
(مص. لَذَّ)	لَذٌّ-لَذٌّ، ةٌ 
(مص. لَذَّ)	لَذَّةٌ-لَذَّةٌ 
(مص. لَذَّذَ)	تَلْذيذٌ-تَلْذيذٌ 
(مص. لَذَعَ)	لَذْعٌ-لَذْعٌ 
(مص. لَزِقَ)	لُزُوقٌ-لُزُوقٌ 
(مص. لَزَّقَ)	تَلْزيقٌ-تَلْزيقٌ 
(مص. لَزِمَ)	لُزُومٌ-لُزُومٌ 
(مص. لَسَعَ)	لَسْعٌ-لَسْعٌ 
(مص. لَسَنَ)	لَسْنٌ-لَسْنٌ 
(مص. لَسِنَ)	لَسَنٌ-لَسَنٌ 
(مص. لَسَّنَ)	تَلْسينٌ-تَلْسينٌ 
(مص. لَطَخَ)	لَطْخٌ-لَطْخٌ 
(مص. لَطَّخَ)	تَلْطيخٌ-تَلْطيخٌ 
(مص. لَطُفَ)	لَطَافَةٌ-لَطَافَةٌ 
(مص. لَطَّفَ)	تَلْطيفٌ-تَلْطيفٌ
(مص. لَظِيَ)	لَظىً-لَظىً 
(مص. لَعِبَ)	لَعِبٌ-لَعِبٌ 
(مص. لَعَجَ)	لَعْجٌ-لَعْجٌ 
(مص. لَعِقَ)	لُعْقَةٌ-لُعْقَةٌ 
(مص. لَعَّقَ)	تَلْعيقٌ-تَلْعيقٌ 
(مص. لَعِقَ) (الْمَرَّةُ مِنْ لَعِقَ)	لَعْقَةٌ-لَعْقَةٌ 
(مص. لَغَا)	لَغْوٌ-لَغْوٌ 
(مص. لَغَطَ)	لَغْطٌ-لَغْطٌ 
(مص. لَغِيَ)	لَغَا-لَغَا 
(مص. لَفَّ يَلِفُّ)	لَفَفٌ-لَفَفٌ 
(مص. لَفَّ)	لَفٌّ-لَفٌّ 
(مص. لَفَحَ)	لَفْحٌ-لَفْحٌ 
(مص. لَفَّقَ)	تَلْفيقٌ-تَلْفيقٌ 
(مص. لَقَّ)	لَقٌّ-لَقٌّ 
(مص. لَقَّبَ)	تَلْقيبٌ-تَلْقيبٌ 
(مص. لَقِحَ)	لَقَاحٌ-لَقَاحٌ 
(مص. لَقَّحَ)	تَلْقيحٌ-تَلْقيحٌ 
(مص. لَقَطَ)	لَقْطٌ-لَقْطٌ 
(مص. لَقَّفَ)	تَلْقيفٌ-تَلْقيفٌ 
(مص. لَقْلَقَ)	لَقْلَقَةٌ-لَقْلَقَةٌ 
(مص. لَقَّنَ)	تَلْقينٌ-تَلْقينٌ 
(مص. لَقِيَ)	لِقَاءٌ-لِقَاءٌ 
(مص. لَقِيَ)	لَقْيَةٌ-لَقْيَةٌ 
(مص. لَكَّ)	لَكٌّ-لَكٌّ 
(مص. لَكَمَ)	لَكْمٌ-لَكْمٌ 
(مص. لَكِنَ)	لُكْنَةٌ-لُكْنَةٌ 
(مص. لَمَحَ)	لَمْحٌ-لَمْحٌ 
(مص. لَمَّحَ)	تَلْميحٌ-تَلْميحٌ 
(مص. لَمَزَ)	لَمْزٌ-لَمْزٌ 
(مص. لَمَسَ)	لَمْسٌ-لَمْسٌ، ةٌ 
(مص. لَمَسَ)	لَمْسَةٌ-لَمْسَةٌ 
(مص. لَمَعَ)	لَمَعَانٌ-لَمَعَانٌ 
(مص. لَمَّعَ)	تَلْميعٌ-تَلْميعٌ 
(مص. لَمْلَمَ)	لَمْلَمَةٌ-لَمْلَمَةٌ 
(مص. لَهَا)	لَهْوٌ-لَهْوٌ 
(مص. لَهِبَ)	لَهَبَانٌ-لَهَبَانٌ 
(مص. لَهِبَ)	لَهَبٌ-لَهَبٌ 
(مص. لَهَّبَ)	تَلْهيبٌ-تَلْهيبٌ 
(مص. لَهَّبَ)	لَهِيبٌ-لَهِيبٌ 
(مص. لَهَثَ)	لُهَاثٌ-لُهَاثٌ 
(مص. لَهِثَ)	لَهَثَةٌ-لَهَثَةٌ 
(مص. لَهِثَ)	لَهَثٌ-لَهَثٌ، ةٌ 
(مص. لَهِفَ)	لَهَفٌ-لَهَفٌ 
(مص. لَهَّى)	تَلْهِيَةٌ-تَلْهِيَةٌ 
(مص. لَوِثَ)	لَوَثٌ-لَوَثٌ 
(مص. لَوَّثَ)	تَلْويثٌ-تَلْويثٌ 
(مص. لَوَّحَ)	تَلْويحٌ-تَلْويحٌ 
(مص. لَوَّمَ)	تَلْويمٌ-تَلْويمٌ 
(مص. لَوَّنَ)	تَلْوينٌ-تَلْوينٌ 
(مص. لَيَّنَ)	تَلْيِينٌ-تَلْيِينٌ 
(مص. مَاتَ)	مَوَاتٌ-مَوَاتٌ 
(مص. مَاتَ)	مَوْتٌ-مَوْتٌ 
(مص. مَاثَلَ)	مُمَاثَلَةٌ-مُمَاثَلَةٌ 
(مص. مَاجَ).	مَوْجٌ-مَوْجٌ، ةٌ 
(مص. مَاجَ).	مَوْجَةٌ-مَوْجَةٌ 
(مص. مَاحَكَ)	مُمَاحَكَةٌ-مُمَاحَكَةٌ 
(مص. مَارَسَ)	مِرَاسٌ-مِرَاسٌ 
(مص. مَارَسَ)	مُمَارَسَةٌ-مُمَارَسَةٌ 
(مص. مَارَى)	مِرَاءٌ-مِرَاءٌ 
(مص. مَازَ)	مَيْزٌ-مَيْزٌ 
(مص. مَازَجَ)	مُمَازَجَةٌ-مُمَازَجَةٌ 
(مص. مَازَحَ)	مِزَاحٌ-مِزَاحٌ 
(مص. مَازَحَ)	مُمَازَحَةٌ-مُمَازَحَةٌ 
(مص. مَاسَ)	مَيْسٌ-مَيْسٌ 
(مص. مَاشَى)	مُمَاشَاةٌ-مُمَاشَاةٌ 
(مص. مَاطَلَ)	مُمَاطَلَةٌ-مُمَاطَلَةٌ 
(مص. مَاقَتَ)	مُمَاقَتَةٌ-مُمَاقَتَةٌ 
(مص. مَاكَرَ)	مُمَاكَرَةٌ-مُمَاكَرَةٌ 
(مص. مال)	مَيَلاَنٌ-مَيَلاَنٌ 
(مص. مَالَ)	مَيْلٌ-مَيْلٌ 
(مص. مَالأَ)	مُمَالَأَةٌ-مُمَالَأَةٌ 
(مص. مَالَحَ)	مُمَالَحَةٌ-مُمَالَحَةٌ 
(مص. مَالَقَ)	مُمَالَقَةٌ-مُمَالَقَةٌ 
(مص. مانَعَ)	مُمَانَعَةٌ-مُمَانَعَةٌ 
(مص. مَتَّعَ)	تَمْتيعٌ-تَمْتيعٌ 
(مص. مَتَنَ)	مَتَانَةٌ-مَتَانَةٌ 
(مص. مَتَنَ)	مَتْنٌ-مَتْنٌ، ةٌ 
(مص. مَتَنَ)	مَتْنَةٌ-مَتْنَةٌ 
(مص. مَتَّنَ)	تَمْتينٌ-تَمْتينٌ 
(مص. مَثَلَ)	مُثُولٌ-مُثُولٌ 
(مص. مَثَّلَ)	تَمْثيلٌ-تَمْثيلٌ 
(مص. مَجَدَ)	مَجْدٌ-مَجْدٌ 
(مص. مَجَّدَ)	تَمْجيدٌ-تَمْجيدٌ 
(مص. مَجَنَ)	مُجُونٌ-مُجُونٌ 
(مص. مَحَا)	مَحْوٌ-مَحْوٌ 
(مص. مَحَّصَ)	تَمْحيصٌ-تَمْحيصٌ 
(مص. مَحَضَ)	مَحْضٌ-مَحْضٌ 
(مص. مَحُلَ، مَاحَلَ)	مِحَالٌ-مِحَالٌ 
(مص. مَخَّخَ)	تَمْخيخٌ-تَمْخيخٌ 
(مص. مَخَرَ)	مَخْرٌ-مَخْرٌ 
(مص. مَخَضَ)	مَخْضٌ-مَخْضٌ 
(مص. مَخَّطَ)	تَمْخيطٌ-تَمْخيطٌ 
(مص. مَدَّ)	مَدٌّ-مَدٌّ 
(مص. مَدَحَ)	مَدْحٌ-مَدْحٌ 
(مص. مَدَّدَ)	تَمْديدٌ-تَمْديدٌ 
(مص. مَدَّنَ)	تَمْدِينٌ-تَمْدِينٌ 
(مص. مَذَرَ)	مَذَرٌ-مَذَرٌ 
(مص. مَذَقَ)	مَذْقٌ-مَذْقٌ 
(مص. مَرَّ)	مَرَارَةٌ-مَرَارَةٌ 
(مص. مَرَّ)	مَرٌّ-مَرٌّ 
(مص. مَرَّ)	مُرُورٌ-مُرُورٌ 
(مص. مَرَّ)	مَمَرٌّ-مَمَرٌّ 
(مص. مُرَّ)	مِرَّةٌ-مِرَّةٌ 
(مص. مَرُؤَ)	مُرُوءةٌ-مُرُوءةٌ 
(مص. مَرِجَ)	مَرَجٌ-مَرَجٌ 
(مص. مَرِحَ)	مَرَحٌ-مَرَحٌ 
(مص. مَرَّدَ)	تَمْريدٌ-تَمْريدٌ 
(مص. مَرَّرَ)	تَمْريرٌ-تَمْريرٌ 
(مص. مَرِضَ)	مَرَضٌ-مَرَضٌ 
(مص. مَرَّضَ)	تَمْريضٌ-تَمْريضٌ 
(مص. مَرَعَ)	مَرْعٌ-مَرْعٌ 
(مص. مَرَّغَ)	تَمْريغٌ-تَمْريغٌ 
(مص. مَرَقَ)	مُرُوقٌ-مُرُوقٌ 
(مص. مَرَنَ)	مُرُونَةٌ-مُرُونَةٌ 
(مص. مَرَّنَ)	تَمْرينٌ-تَمْرينٌ 
(مص. مَزَّ)	مَزٌّ-مَزٌّ 
(مص. مَزَجَ)	مَزْجٌ-مَزْجٌ 
(مص. مَزَحَ)	مُزَاحٌ-مُزَاحٌ 
(مص. مَزَحَ)	مَزْحٌ-مَزْحٌ 
(مص. مَزَّقَ)	تَمْزيقٌ-تَمْزيقٌ 
(مص. مَسَّ، مُسَّ)	مَسٌّ-مَسٌّ 
(مص. مَسَحَ)	مِسَاحَةٌ-مِسَاحَةٌ 
(مص. مَسَحَ)	مَسْحٌ-مَسْحٌ 
(مص. مَسَّحَ)	تَمْسيحٌ-تَمْسيحٌ 
(مص. مَسَخَ)	مَسْخٌ-مَسْخٌ 
(مص. مَسَّدَ)	تَمْسيدٌ-تَمْسيدٌ 
(مص. مَسَكَ)	مَسْكٌ-مَسْكٌ 
(مص. مَسَّكَ)	تَمْسيكٌ-تَمْسيكٌ 
(مص. مَسَّى)	تَمْسِيَةٌ-تَمْسِيَةٌ 
(مص. مَشَجَ)	مَشْجٌ-مَشْجٌ 
(مص. مَشَّطَ)	تَمْشيطٌ-تَمْشيطٌ 
(مص. مَشَى)	مَشْيٌ-مَشْيٌ 
(مص. مَشَّى)	تَمْشِيَةٌ-تَمْشِيَةٌ 
(مص. مَصَّ)	مَصٌّ-مَصٌّ 
(مص. مَصَّرَ)	تَمْصيرٌ-تَمْصيرٌ 
(مص. مَصَلَ)	مَصْلٌ-مَصْلٌ 
(مص. مَضَّ)	مَضَضٌ-مَضَضٌ 
(مص. مَضَّ)	مَضٌّ-مَضٌّ 
(مص. مَضَغَ)	مَضْغٌ-مَضْغٌ 
(مص. مَضْمَضَ)	مَضْمَضَةٌ-مَضْمَضَةٌ 
(مص. مَضَى)	مُضِيٌّ-مُضِيٌّ 
(مص. مَضَى)	مَضَاءٌ-مَضَاءٌ 
(مص. مَضَّى)	تَمْضِيَةٌ-تَمْضِيَةٌ 
(مص. مَطَرَ)	مَطَرٌ-مَطَرٌ 
(مص. مَعْجَمَ)	مَعْجَمَةٌ-مَعْجَمَةٌ 
(مص. مَعْمَعَ)	مَعْمَعَةٌ-مَعْمَعَةٌ 
(مص. مُغِصَ، مَغِصَ)	مَغْصٌ-مَغْصٌ، مَغَصٌ 
(مص. مَغْنَطَ)	مَغْنَطَةٌ-مَغْنَطَةٌ 
(مص. مَقَتَ)	مَقْتٌ-مَقْتٌ 
(مص. مَقْمَقَ)	مَقْمَقَةٌ-مَقْمَقَةٌ 
(مص. مَكَا)	مُكَاءٌ-مُكَاءٌ 
(مص. مَكَثَ)	مُكْثٌ-مُكْثٌ
(مص. مَكَرَ)	مَكْرٌ-مَكْرٌ 
(مص. مَكَسَ)	مَكْسٌ-مَكْسٌ 
(مص. مَكُنَ)	مَكَانَةٌ-مَكَانَةٌ 
(مص. مَكَّنَ)	تَمْكِينٌ-تَمْكِينٌ 
(مص. مَكْنَنَ)	مَكْنَنَةٌ-مَكْنَنَةٌ 
(مص. مَلَّ)	مَلَلٌ-مَلَلٌ 
(مص. مَلَّ)	مَلاَلٌ-مَلاَلٌ 
(مص. مَلُحَ)	مُلُوحَةٌ-مُلُوحَةٌ 
(مص. مَلَّحَ)	تَمْلِيحٌ-تَمْلِيحٌ 
(مص. مَلُسَ)	مَلاَسَةٌ-مَلاَسَةٌ 
(مص. مَلَّسَ)	تَمْلِيسٌ-تَمْلِيسٌ 
(مص. مَلِصَ)	مَلَصٌ-مَلَصٌ 
(مص. مَلَّطَ)	تَمْلِيطٌ-تَمْلِيطٌ 
(مص. مَلَقَ)	مَلَقٌ-مَلَقٌ 
(مص. مَلَكَ)	مُلْكٌ-مُلْكٌ 
(مص. مَلَكَ)	مَمْلَكَةٌ-مَمْلَكَةٌ 
(مص. مَلَّكَ)	تَمْلِيكٌ-تَمْلِيكٌ 
(مص. مَلْمَلَ)	مَلْمَلَةٌ-مَلْمَلَةٌ 
(مص. مِنْ هَزَلَ)	هَزْلٌ-هَزْلٌ 
(مص. مَنَّ)	مِنَّةٌ-مِنَّةٌ 
(مص. مَنَّ)	مَنٌّ-مَنٌّ 
(مص. مَنَحَ)	مَنْحٌ-مَنْحٌ 
(مص. مَنَعَ)	مَنَاعَةٌ-مَنَاعَةٌ 
(مص. مَنَعَ)	مَنْعٌ-مَنْعٌ 
(مص. مَنَّى)	تَمْنِيةٌ-تَمْنِيةٌ 
(مص. مَهَا)\ْمَهَا-مَهَا 
(مص. مَهَدَ)	مَهْدٌ-مَهْدٌ 
(مص. مَهَّدَ)	تَمْهِيدٌ-تَمْهِيدٌ 
(مص. مَهَرَ)	مَهَارَةٌ-مَهَارَةٌ 
(مص. مَهَرَ)	مَهْرٌ-مَهْرٌ 
(مص. مَهَلَ)	مُهْلَةٌ-مُهْلَةٌ 
(مص. مَهَّلَ)	تَمْهِيلٌ-تَمْهِيلٌ 
(مص. مَهُنَ، هَانَ)	مَهَانَةٌ-مَهَانَةٌ 
(مص. مَهَنَ)	مِهْنَةٌ-مِهْنَةٌ 
(مص. مَوَّتَ)	تَمْوِيتٌ-تَمْوِيتٌ 
(مص. مَوَّلَ)	تَمْوِيلٌ-تَمْوِيلٌ 
(مص. موَّنَ)	تَمْوِينٌ-تَمْوِينٌ 
(مص. مَوَّهَ)	تَمْوِيهٌ-تَمْوِيهٌ 
(مص. مَيَّزَ)	تَمْييزٌ-تَمْييزٌ 
(مص. ميمي)	مَبَرَّةٌ-مَبَرَّةٌ 
(مص. ميمي)	مُقَامٌ-مُقَامٌ 
(مص. ميمي)	مَلَفٌّ-مَلَفٌّ 
(مص. ميمي)	مَلْمَسٌ-مَلْمَسٌ 
(مص. ميمي)	مَنْأىً-مَنْأىً 
(مص. نأى)	نَأْيٌ-نَأْيٌ 
(مص. ناب)	مَنَابٌ-مَنَابٌ 
(مص. نَابَ)	نَوْبَةٌ-نَوْبَةٌ 
(مص. نَابَ)	نَوْبٌ-نَوْبٌ 
(مص. نَابَ)	نِيَابَةٌ-نِيَابَةٌ 
(مص. نَابَذَ)	مُنَابذَةٌ-مُنَابذَةٌ 
(مص. نَاجَدَ)	مُنَاجَدَةٌ-مُنَاجَدَةٌ 
(مص. نَاجَى)	مُنَاجَاةٌ-مُنَاجَاةٌ 
(مص. نَاحَ)	نُوَاحٌ-نُوَاحٌ 
(مص. نَاحَ)	نَوْحٌ-نَوْحٌ 
(مص. نَادَمَ)	مُنَادَمَةٌ-مُنَادَمَةٌ 
(مص. نَادَى)	مُنَادَاةٌ-مُنَادَاةٌ 
(مص. نَادَى)	نِدَاءٌ-نِدَاءٌ 
(مص. نَارَ، يَنُورُ)	نَوَارٌ-نَوَارٌ 
(مص. نَازَعَ)	مُنَازَعَةٌ-مُنَازَعَةٌ 
(مص. نَازَلَ)	نِزَالٌ-نِزَالٌ 
(مص. نَاسَبَ)	مُنَاسَبَةٌ-مُنَاسَبَةٌ 
(مص. نَاشَدَ)	مُنَاشَدَةٌ-مُنَاشَدَةٌ 
(مص. نَاصَرَ)	مُنَاصَرَةٌ-مُنَاصَرَةٌ 
(مص. نَاصَفَ)	مُنَاصَفَةٌ-مُنَاصَفَةٌ 
(مص. نَاضَلَ)	نِضَالٌ-نِضَالٌ 
(مص. نَاطَ)	نِيَاطٌ-نِيَاطٌ 
